Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
0.20, 0,0.0581,-0.0261,7.4603,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.40, 0,0.0624,-0.0296,7.4676,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.60, 0,0.0680,-0.0186,7.4823,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.80, 0,0.0735,0.0083,7.4742,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.00, 0,0.0793,0.0536,7.4603,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.20, 0,0.0850,0.1189,7.4572,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.40, 0,0.0890,0.1865,7.4632,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.60, 0,0.0922,0.2850,7.4740,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.80, 0,0.0947,0.3999,7.4857,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.00, 0,0.0950,0.5295,7.4950,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.20, 0,0.0949,0.6751,7.5140,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.41, 0,0.0942,0.8347,7.4927,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.61, 0,0.0936,1.0066,7.4575,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.81, 0,0.0931,1.1885,7.4611,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.01, 0,0.0922,1.3840,7.4662,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.21, 0,0.0920,1.5852,7.4868,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.41, 0,0.0904,1.7873,7.5052,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.61, 0,0.0887,2.0020,7.5220,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.81, 0,0.0851,2.2143,7.5336,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.01, 0,0.0847,2.3974,7.5439,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.21, 0,0.0844,2.6084,7.5569,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.41, 0,0.0843,2.8265,7.5575,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
