Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
6987.85, 0,-0.0971,0.6255,7.2331,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6988.05, 0,-0.1078,0.6275,7.2216,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6988.25, 0,-0.1176,0.6461,7.2143,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6988.45, 0,-0.1270,0.6793,7.2072,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6988.65, 0,-0.1337,0.7240,7.1988,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6988.85, 0,-0.1403,0.7958,7.1869,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6989.05, 0,-0.1459,0.8865,7.1822,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6989.25, 0,-0.1495,0.9981,7.1726,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6989.45, 0,-0.1505,1.1208,7.1685,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6989.65, 0,-0.1510,1.2565,7.1710,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6989.85, 0,-0.1518,1.3808,7.1763,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6990.05, 0,-0.1519,1.5429,7.1844,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6990.25, 0,-0.1521,1.7183,7.1847,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6990.45, 0,-0.1527,1.9042,7.1820,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6990.65, 0,-0.1530,2.0974,7.1782,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6990.85, 0,-0.1521,2.3023,7.1841,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6991.05, 0,-0.1522,2.4767,7.1923,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6991.25, 0,-0.1532,2.6923,7.2004,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6991.45, 0,-0.1534,2.9170,7.2093,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6991.65, 0,-0.1540,3.1479,7.2156,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6991.85, 0,-0.1548,3.3776,7.2113,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6992.05, 0,-0.1549,3.6103,7.2071,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6992.25, 0,-0.1555,3.8057,7.1998,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6992.45, 0,-0.1565,4.0421,7.1692,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6992.65, 0,-0.1566,4.2780,7.1544,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6992.85, 0,-0.1568,4.5149,7.1553,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6993.05, 0,-0.1568,4.7447,7.1555,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6993.25, 0,-0.1568,4.9787,7.1319,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6993.46, 0,-0.1556,5.2141,7.1298,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6993.66, 0,-0.1533,5.4455,7.1440,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
