Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
18.10, 0,-44.7137,39.6992,7.9144,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
18.30, 0,-44.7207,39.7206,7.9270,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
18.50, 0,-44.7244,39.7513,7.9539,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
18.70, 0,-44.7281,39.7915,7.9592,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
18.90, 0,-44.7343,39.8602,7.9466,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
19.10, 0,-44.7415,39.9416,7.9708,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
19.30, 0,-44.7459,40.0233,7.9873,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
19.50, 0,-44.7485,40.1381,8.0198,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
19.70, 0,-44.7514,40.2503,8.0458,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
19.90, 0,-44.7541,40.4000,8.0741,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
20.10, 0,-44.7577,40.5666,8.1011,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
20.30, 0,-44.7604,40.7175,8.1175,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
20.50, 0,-44.7618,40.8767,8.1179,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
20.70, 0,-44.7617,41.0867,8.1137,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
20.90, 0,-44.7612,41.2720,8.1114,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
21.10, 0,-44.7602,41.5020,8.0923,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
21.30, 0,-44.7582,41.7337,8.0877,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
21.50, 0,-44.7554,41.9337,8.0871,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
21.70, 0,-44.7501,42.1837,8.0852,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
21.90, 0,-44.7465,42.3927,8.0755,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
22.10, 0,-44.7424,42.6490,8.0598,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
22.30, 0,-44.7394,42.8646,8.0403,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
22.50, 0,-44.7344,43.1230,8.0322,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
22.71, 0,-44.7308,43.3271,8.0314,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
22.91, 0,-44.7256,43.5876,8.0207,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
23.11, 0,-44.7212,43.7979,8.0084,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
23.31, 0,-44.7149,44.0612,8.0012,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
23.51, 0,-44.7097,44.3131,7.9954,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
23.72, 0,-44.7073,44.5071,7.9912,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
23.92, 0,-44.7045,44.7401,7.9747,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
24.12, 0,-44.7003,44.9367,7.9583,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
24.32, 0,-44.6968,45.1395,7.9498,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
24.52, 0,-44.6938,45.3844,7.9441,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
24.72, 0,-44.6909,45.5863,7.9408,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
24.92, 0,-44.6888,45.8232,7.9364,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
25.12, 0,-44.6877,46.0198,7.9261,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
25.32, 0,-44.6872,46.2568,7.9184,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
25.52, 0,-44.6855,46.4551,7.9125,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
25.72, 0,-44.6856,46.6843,7.9057,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
25.93, 0,-44.6856,46.8721,7.9008,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
26.13, 0,-44.6842,47.0912,7.8955,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
