Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
0.20, 0,-0.0684,-0.2025,7.3983,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.40, 0,-0.0440,-0.1778,7.3889,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.60, 0,-0.0240,-0.1518,7.3809,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.80, 0,-0.0055,-0.1126,7.3674,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.00, 0,0.0077,-0.0699,7.3598,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.20, 0,0.0181,-0.0064,7.3562,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.40, 0,0.0252,0.0764,7.3440,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.60, 0,0.0308,0.1743,7.3340,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.80, 0,0.0339,0.2895,7.3262,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.00, 0,0.0346,0.4199,7.3224,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.20, 0,0.0322,0.5344,7.3224,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.40, 0,0.0304,0.6777,7.3264,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.60, 0,0.0285,0.8372,7.3280,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.80, 0,0.0268,1.0060,7.3293,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.00, 0,0.0256,1.1873,7.3273,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.20, 0,0.0239,1.3426,7.3316,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.40, 0,0.0215,1.5343,7.3341,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.60, 0,0.0174,1.7402,7.3295,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.80, 0,0.0111,1.9529,7.3230,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.00, 0,0.0034,2.1750,7.3228,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.21, 0,-0.0033,2.3571,7.3236,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.41, 0,-0.0126,2.5863,7.3242,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.61, 0,-0.0229,2.8150,7.3200,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.81, 0,-0.0337,3.0410,7.3227,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.01, 0,-0.0428,3.2335,7.3223,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.21, 0,-0.0528,3.4628,7.3190,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.41, 0,-0.0633,3.7064,7.3295,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.61, 0,-0.0724,3.9374,7.3387,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.81, 0,-0.0796,4.1348,7.3483,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.01, 0,-0.0867,4.3709,7.3514,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.21, 0,-0.0923,4.6133,7.3573,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.41, 0,-0.0970,4.8501,7.3678,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.61, 0,-0.1006,5.0847,7.3823,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.81, 0,-0.1024,5.3233,7.3925,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.01, 0,-0.1031,5.5200,7.3713,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.21, 0,-0.1050,5.7495,7.3701,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.41, 0,-0.1073,5.9755,7.3741,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.61, 0,-0.1110,6.2005,7.3390,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.81, 0,-0.1131,6.4142,7.3034,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.01, 0,-0.1144,6.5914,7.3095,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.21, 0,-0.1151,6.8135,7.3273,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.41, 0,-0.1167,7.0293,7.3416,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.61, 0,-0.1197,7.2459,7.3707,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.81, 0,-0.1239,7.4631,7.3933,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.01, 0,-0.1250,7.6500,7.4104,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.21, 0,-0.1253,7.8668,7.4280,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.41, 0,-0.1249,8.0871,7.4435,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.61, 0,-0.1251,8.3059,7.4487,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.82, 0,-0.1255,8.5260,7.4355,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
10.02, 0,-0.1263,8.7403,7.4347,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
10.22, 0,-0.1270,8.9611,7.4455,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
10.42, 0,-0.1277,9.1725,7.4263,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
10.62, 0,-0.1282,9.3557,7.4183,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
10.82, 0,-0.1298,9.5682,7.4197,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
11.02, 0,-0.1313,9.7774,7.4275,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
11.22, 0,-0.1319,9.9867,7.4383,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
11.42, 0,-0.1338,10.1594,7.4363,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
11.62, 0,-0.1352,10.3677,7.4338,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
11.82, 0,-0.1343,10.5791,7.4365,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
12.02, 0,-0.1337,10.7925,7.4334,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
12.22, 0,-0.1329,10.9987,7.4209,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
12.42, 0,-0.1313,11.1757,7.4041,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
12.67, 0,-0.1317,11.4463,7.3780,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
12.92, 0,-0.1340,11.6781,7.3752,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
13.18, 0,-0.1343,11.9047,7.3867,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
13.43, 0,-0.1341,12.1570,7.4091,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
13.68, 0,-0.1338,12.3785,7.4261,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
13.93, 0,-0.1339,12.5949,7.4367,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
14.18, 0,-0.1343,12.8409,7.4351,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
14.44, 0,-0.1356,13.0491,7.4308,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
14.69, 0,-0.1375,13.2570,7.4249,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
14.94, 0,-0.1388,13.4622,7.4250,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
15.19, 0,-0.1404,13.6927,7.4195,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
15.44, 0,-0.1411,13.8941,7.4062,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
15.70, 0,-0.1408,14.0912,7.3971,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
15.95, 0,-0.1391,14.3129,7.3741,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
16.20, 0,-0.1375,14.5061,7.3770,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
16.45, 0,-0.1362,14.7235,7.3755,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
16.70, 0,-0.1347,14.9229,7.3627,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
16.96, 0,-0.1327,15.1125,7.3615,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
17.21, 0,-0.1321,15.3314,7.3647,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.250
